action_idx,type,vwl,vbsl_bin,vbsl_range
350,SET,174,2,16-23
351,SET,174,3,24-31
352,SET,176,0,0-7
353,SET,176,1,8-15
354,SET,176,2,16-23
355,SET,176,3,24-31
356,SET,178,0,0-7
357,SET,178,1,8-15
358,SET,178,2,16-23
359,SET,178,3,24-31
360,SET,180,0,0-7
361,SET,180,1,8-15
362,SET,180,2,16-23
363,SET,180,3,24-31
364,SET,182,0,0-7
365,SET,182,1,8-15
366,SET,182,2,16-23
367,SET,182,3,24-31
368,SET,184,0,0-7
369,SET,184,1,8-15
370,SET,184,2,16-23
371,SET,184,3,24-31
372,SET,186,0,0-7
373,SET,186,1,8-15
374,SET,186,2,16-23
375,SET,186,3,24-31
376,SET,188,0,0-7
377,SET,188,1,8-15
378,SET,188,2,16-23
379,SET,188,3,24-31
380,SET,190,0,0-7
381,SET,190,1,8-15
382,SET,190,2,16-23
383,SET,190,3,24-31
384,SET,192,0,0-7
385,SET,192,1,8-15
386,SET,192,2,16-23
387,SET,192,3,24-31
388,SET,194,0,0-7
389,SET,194,1,8-15
390,SET,194,2,16-23
391,SET,194,3,24-31
392,SET,196,0,0-7
393,SET,196,1,8-15
394,SET,196,2,16-23
395,SET,196,3,24-31
396,SET,198,0,0-7
397,SET,198,1,8-15
398,SET,198,2,16-23
399,SET,198,3,24-31
400,SET,200,0,0-7
401,SET,200,1,8-15
402,SET,200,2,16-23
403,SET,200,3,24-31
404,SET,202,0,0-7
405,SET,202,1,8-15
406,SET,202,2,16-23
407,SET,202,3,24-31
408,SET,204,0,0-7
409,SET,204,1,8-15
410,SET,204,2,16-23
411,SET,204,3,24-31
412,SET,206,0,0-7
413,SET,206,1,8-15
414,SET,206,2,16-23
415,SET,206,3,24-31
416,SET,208,0,0-7
417,SET,208,1,8-15
418,SET,208,2,16-23
419,SET,208,3,24-31
420,SET,210,0,0-7
421,SET,210,1,8-15
422,SET,210,2,16-23
423,SET,210,3,24-31
424,SET,212,0,0-7
425,SET,212,1,8-15
426,SET,212,2,16-23
427,SET,212,3,24-31
428,SET,214,0,0-7
429,SET,214,1,8-15
430,SET,214,2,16-23
431,SET,214,3,24-31
432,SET,216,0,0-7
433,SET,216,1,8-15
434,SET,216,2,16-23
435,SET,216,3,24-31
436,SET,218,0,0-7
437,SET,218,1,8-15
438,SET,218,2,16-23
439,SET,218,3,24-31
440,SET,220,0,0-7
441,SET,220,1,8-15
442,SET,220,2,16-23
443,SET,220,3,24-31
444,SET,222,0,0-7
445,SET,222,1,8-15
446,SET,222,2,16-23
447,SET,222,3,24-31
448,SET,224,0,0-7
449,SET,224,1,8-15
450,SET,224,2,16-23
451,SET,224,3,24-31
452,SET,226,0,0-7
453,SET,226,1,8-15
454,SET,226,2,16-23
455,SET,226,3,24-31
456,SET,228,0,0-7
457,SET,228,1,8-15
458,SET,228,2,16-23
459,SET,228,3,24-31
460,SET,230,0,0-7
461,SET,230,1,8-15
462,SET,230,2,16-23
463,SET,230,3,24-31
464,SET,232,0,0-7
465,SET,232,1,8-15
466,SET,232,2,16-23
467,SET,232,3,24-31
468,SET,234,0,0-7
469,SET,234,1,8-15
470,SET,234,2,16-23
471,SET,234,3,24-31
472,SET,236,0,0-7
473,SET,236,1,8-15
474,SET,236,2,16-23
475,SET,236,3,24-31
476,SET,238,0,0-7
477,SET,238,1,8-15
478,SET,238,2,16-23
479,SET,238,3,24-31
480,SET,240,0,0-7
481,SET,240,1,8-15
482,SET,240,2,16-23
483,SET,240,3,24-31
484,SET,242,0,0-7
485,SET,242,1,8-15
486,SET,242,2,16-23
487,SET,242,3,24-31
488,SET,244,0,0-7
489,SET,244,1,8-15
490,SET,244,2,16-23
491,SET,244,3,24-31
492,SET,246,0,0-7
493,SET,246,1,8-15
494,SET,246,2,16-23
495,SET,246,3,24-31
496,SET,248,0,0-7
497,SET,248,1,8-15
498,SET,248,2,16-23
499,SET,248,3,24-31
500,SET,250,0,0-7
501,SET,250,1,8-15
502,SET,250,2,16-23
503,SET,250,3,24-31
504,SET,252,0,0-7
505,SET,252,1,8-15
506,SET,252,2,16-23
507,SET,252,3,24-31
508,SET,254,0,0-7
509,SET,254,1,8-15
510,SET,254,2,16-23
511,SET,254,3,24-31
512,RESET,0,0,0-7
513,RESET,0,1,8-15
514,RESET,0,2,16-23
515,RESET,0,3,24-31
516,RESET,2,0,0-7
517,RESET,2,1,8-15
518,RESET,2,2,16-23
519,RESET,2,3,24-31
520,RESET,4,0,0-7
521,RESET,4,1,8-15
522,RESET,4,2,16-23
523,RESET,4,3,24-31
524,RESET,6,0,0-7
525,RESET,6,1,8-15
526,RESET,6,2,16-23
527,RESET,6,3,24-31
528,RESET,8,0,0-7
529,RESET,8,1,8-15
530,RESET,8,2,16-23
531,RESET,8,3,24-31
532,RESET,10,0,0-7
533,RESET,10,1,8-15
534,RESET,10,2,16-23
535,RESET,10,3,24-31
536,RESET,12,0,0-7
537,RESET,12,1,8-15
538,RESET,12,2,16-23
539,RESET,12,3,24-31
540,RESET,14,0,0-7
541,RESET,14,1,8-15
542,RESET,14,2,16-23
543,RESET,14,3,24-31
544,RESET,16,0,0-7
545,RESET,16,1,8-15
546,RESET,16,2,16-23
547,RESET,16,3,24-31
548,RESET,18,0,0-7
549,RESET,18,1,8-15
550,RESET,18,2,16-23
551,RESET,18,3,24-31
552,RESET,20,0,0-7
553,RESET,20,1,8-15
554,RESET,20,2,16-23
555,RESET,20,3,24-31
556,RESET,22,0,0-7
557,RESET,22,1,8-15
558,RESET,22,2,16-23
559,RESET,22,3,24-31
560,RESET,24,0,0-7
561,RESET,24,1,8-15
562,RESET,24,2,16-23
563,RESET,24,3,24-31
564,RESET,26,0,0-7
565,RESET,26,1,8-15
566,RESET,26,2,16-23
567,RESET,26,3,24-31
568,RESET,28,0,0-7
569,RESET,28,1,8-15
570,RESET,28,2,16-23
571,RESET,28,3,24-31
572,RESET,30,0,0-7
573,RESET,30,1,8-15
574,RESET,30,2,16-23
575,RESET,30,3,24-31
576,RESET,32,0,0-7
577,RESET,32,1,8-15
578,RESET,32,2,16-23
579,RESET,32,3,24-31
580,RESET,34,0,0-7
581,RESET,34,1,8-15
582,RESET,34,2,16-23
583,RESET,34,3,24-31
584,RESET,36,0,0-7
585,RESET,36,1,8-15
586,RESET,36,2,16-23
587,RESET,36,3,24-31
588,RESET,38,0,0-7
589,RESET,38,1,8-15
590,RESET,38,2,16-23
591,RESET,38,3,24-31
592,RESET,40,0,0-7
593,RESET,40,1,8-15
594,RESET,40,2,16-23
595,RESET,40,3,24-31
596,RESET,42,0,0-7
597,RESET,42,1,8-15
598,RESET,42,2,16-23
599,RESET,42,3,24-31
600,RESET,44,0,0-7
601,RESET,44,1,8-15
602,RESET,44,2,16-23
603,RESET,44,3,24-31
604,RESET,46,0,0-7
605,RESET,46,1,8-15
606,RESET,46,2,16-23
607,RESET,46,3,24-31
608,RESET,48,0,0-7
609,RESET,48,1,8-15
610,RESET,48,2,16-23
611,RESET,48,3,24-31
612,RESET,50,0,0-7
613,RESET,50,1,8-15
614,RESET,50,2,16-23
615,RESET,50,3,24-31
616,RESET,52,0,0-7
617,RESET,52,1,8-15
618,RESET,52,2,16-23
619,RESET,52,3,24-31
620,RESET,54,0,0-7
621,RESET,54,1,8-15
622,RESET,54,2,16-23
623,RESET,54,3,24-31
624,RESET,56,0,0-7
625,RESET,56,1,8-15
626,RESET,56,2,16-23
627,RESET,56,3,24-31
628,RESET,58,0,0-7
629,RESET,58,1,8-15
630,RESET,58,2,16-23
631,RESET,58,3,24-31
632,RESET,60,0,0-7
633,RESET,60,1,8-15
634,RESET,60,2,16-23
635,RESET,60,3,24-31
636,RESET,62,0,0-7
637,RESET,62,1,8-15
638,RESET,62,2,16-23
639,RESET,62,3,24-31
640,RESET,64,0,0-7
641,RESET,64,1,8-15
642,RESET,64,2,16-23
643,RESET,64,3,24-31
644,RESET,66,0,0-7
645,RESET,66,1,8-15
646,RESET,66,2,16-23
647,RESET,66,3,24-31
648,RESET,68,0,0-7
649,RESET,68,1,8-15
650,RESET,68,2,16-23
651,RESET,68,3,24-31
652,RESET,70,0,0-7
653,RESET,70,1,8-15
654,RESET,70,2,16-23
655,RESET,70,3,24-31
656,RESET,72,0,0-7
657,RESET,72,1,8-15
658,RESET,72,2,16-23
659,RESET,72,3,24-31
660,RESET,74,0,0-7
661,RESET,74,1,8-15
662,RESET,74,2,16-23
663,RESET,74,3,24-31
664,RESET,76,0,0-7
665,RESET,76,1,8-15
666,RESET,76,2,16-23
667,RESET,76,3,24-31
668,RESET,78,0,0-7
669,RESET,78,1,8-15
670,RESET,78,2,16-23
671,RESET,78,3,24-31
672,RESET,80,0,0-7
673,RESET,80,1,8-15
674,RESET,80,2,16-23
675,RESET,80,3,24-31
676,RESET,82,0,0-7
677,RESET,82,1,8-15
678,RESET,82,2,16-23
679,RESET,82,3,24-31
680,RESET,84,0,0-7
681,RESET,84,1,8-15
682,RESET,84,2,16-23
683,RESET,84,3,24-31
684,RESET,86,0,0-7
685,RESET,86,1,8-15
686,RESET,86,2,16-23
687,RESET,86,3,24-31
688,RESET,88,0,0-7
689,RESET,88,1,8-15
690,RESET,88,2,16-23
691,RESET,88,3,24-31
692,RESET,90,0,0-7
693,RESET,90,1,8-15
694,RESET,90,2,16-23
695,RESET,90,3,24-31
696,RESET,92,0,0-7
697,RESET,92,1,8-15
698,RESET,92,2,16-23
699,RESET,92,3,24-31
700,RESET,94,0,0-7
701,RESET,94,1,8-15
702,RESET,94,2,16-23
703,RESET,94,3,24-31
704,RESET,96,0,0-7
705,RESET,96,1,8-15
706,RESET,96,2,16-23
707,RESET,96,3,24-31
708,RESET,98,0,0-7
709,RESET,98,1,8-15
710,RESET,98,2,16-23
711,RESET,98,3,24-31
712,RESET,100,0,0-7
713,RESET,100,1,8-15
714,RESET,100,2,16-23
715,RESET,100,3,24-31
716,RESET,102,0,0-7
717,RESET,102,1,8-15
718,RESET,102,2,16-23
719,RESET,102,3,24-31
720,RESET,104,0,0-7
721,RESET,104,1,8-15
722,RESET,104,2,16-23
723,RESET,104,3,24-31
724,RESET,106,0,0-7
725,RESET,106,1,8-15
726,RESET,106,2,16-23
727,RESET,106,3,24-31
728,RESET,108,0,0-7
729,RESET,108,1,8-15
730,RESET,108,2,16-23
731,RESET,108,3,24-31
732,RESET,110,0,0-7
733,RESET,110,1,8-15
734,RESET,110,2,16-23
735,RESET,110,3,24-31
736,RESET,112,0,0-7
737,RESET,112,1,8-15
738,RESET,112,2,16-23
739,RESET,112,3,24-31
740,RESET,114,0,0-7
741,RESET,114,1,8-15
742,RESET,114,2,16-23
743,RESET,114,3,24-31
744,RESET,116,0,0-7
745,RESET,116,1,8-15
746,RESET,116,2,16-23
747,RESET,116,3,24-31
748,RESET,118,0,0-7
749,RESET,118,1,8-15
750,RESET,118,2,16-23
751,RESET,118,3,24-31
752,RESET,120,0,0-7
753,RESET,120,1,8-15
754,RESET,120,2,16-23
755,RESET,120,3,24-31
756,RESET,122,0,0-7
757,RESET,122,1,8-15
758,RESET,122,2,16-23
759,RESET,122,3,24-31
760,RESET,124,0,0-7
761,RESET,124,1,8-15
762,RESET,124,2,16-23
763,RESET,124,3,24-31
764,RESET,126,0,0-7
765,RESET,126,1,8-15
766,RESET,126,2,16-23
767,RESET,126,3,24-31
768,RESET,128,0,0-7
769,RESET,128,1,8-15
770,RESET,128,2,16-23
771,RESET,128,3,24-31
772,RESET,130,0,0-7
773,RESET,130,1,8-15
774,RESET,130,2,16-23
775,RESET,130,3,24-31
776,RESET,132,0,0-7
777,RESET,132,1,8-15
778,RESET,132,2,16-23
779,RESET,132,3,24-31
780,RESET,134,0,0-7
781,RESET,134,1,8-15
782,RESET,134,2,16-23
783,RESET,134,3,24-31
784,RESET,136,0,0-7
785,RESET,136,1,8-15
786,RESET,136,2,16-23
787,RESET,136,3,24-31
788,RESET,138,0,0-7
789,RESET,138,1,8-15
790,RESET,138,2,16-23
791,RESET,138,3,24-31
792,RESET,140,0,0-7
793,RESET,140,1,8-15
794,RESET,140,2,16-23
795,RESET,140,3,24-31
796,RESET,142,0,0-7
797,RESET,142,1,8-15
798,RESET,142,2,16-23
799,RESET,142,3,24-31
800,RESET,144,0,0-7
801,RESET,144,1,8-15
802,RESET,144,2,16-23
803,RESET,144,3,24-31
804,RESET,146,0,0-7
805,RESET,146,1,8-15
806,RESET,146,2,16-23
807,RESET,146,3,24-31
808,RESET,148,0,0-7
809,RESET,148,1,8-15
810,RESET,148,2,16-23
811,RESET,148,3,24-31
812,RESET,150,0,0-7
813,RESET,150,1,8-15
814,RESET,150,2,16-23
815,RESET,150,3,24-31
816,RESET,152,0,0-7
817,RESET,152,1,8-15
818,RESET,152,2,16-23
819,RESET,152,3,24-31
820,RESET,154,0,0-7
821,RESET,154,1,8-15
822,RESET,154,2,16-23
823,RESET,154,3,24-31
824,RESET,156,0,0-7
825,RESET,156,1,8-15
826,RESET,156,2,16-23
827,RESET,156,3,24-31
828,RESET,158,0,0-7
829,RESET,158,1,8-15
830,RESET,158,2,16-23
831,RESET,158,3,24-31
832,RESET,160,0,0-7
833,RESET,160,1,8-15
834,RESET,160,2,16-23
835,RESET,160,3,24-31
836,RESET,162,0,0-7
837,RESET,162,1,8-15
838,RESET,162,2,16-23
839,RESET,162,3,24-31
840,RESET,164,0,0-7
841,RESET,164,1,8-15
842,RESET,164,2,16-23
843,RESET,164,3,24-31
844,RESET,166,0,0-7
845,RESET,166,1,8-15
846,RESET,166,2,16-23
847,RESET,166,3,24-31
848,RESET,168,0,0-7
849,RESET,168,1,8-15
850,RESET,168,2,16-23
851,RESET,168,3,24-31
852,RESET,170,0,0-7
853,RESET,170,1,8-15
854,RESET,170,2,16-23
855,RESET,170,3,24-31
856,RESET,172,0,0-7
857,RESET,172,1,8-15
858,RESET,172,2,16-23
859,RESET,172,3,24-31
860,RESET,174,0,0-7
861,RESET,174,1,8-15
862,RESET,174,2,16-23
863,RESET,174,3,24-31
864,RESET,176,0,0-7
865,RESET,176,1,8-15
866,RESET,176,2,16-23
867,RESET,176,3,24-31
868,RESET,178,0,0-7
869,RESET,178,1,8-15
870,RESET,178,2,16-23
871,RESET,178,3,24-31
872,RESET,180,0,0-7
873,RESET,180,1,8-15
874,RESET,180,2,16-23
875,RESET,180,3,24-31
876,RESET,182,0,0-7
877,RESET,182,1,8-15
878,RESET,182,2,16-23
879,RESET,182,3,24-31
880,RESET,184,0,0-7
881,RESET,184,1,8-15
882,RESET,184,2,16-23
883,RESET,184,3,24-31
884,RESET,186,0,0-7
885,RESET,186,1,8-15
886,RESET,186,2,16-23
887,RESET,186,3,24-31
888,RESET,188,0,0-7
889,RESET,188,1,8-15
890,RESET,188,2,16-23
891,RESET,188,3,24-31
892,RESET,190,0,0-7
893,RESET,190,1,8-15
894,RESET,190,2,16-23
895,RESET,190,3,24-31
896,RESET,192,0,0-7
897,RESET,192,1,8-15
898,RESET,192,2,16-23
899,RESET,192,3,24-31
900,RESET,194,0,0-7
901,RESET,194,1,8-15
902,RESET,194,2,16-23
903,RESET,194,3,24-31
904,RESET,196,0,0-7
905,RESET,196,1,8-15
906,RESET,196,2,16-23
907,RESET,196,3,24-31
908,RESET,198,0,0-7
909,RESET,198,1,8-15
910,RESET,198,2,16-23
911,RESET,198,3,24-31
912,RESET,200,0,0-7
913,RESET,200,1,8-15
914,RESET,200,2,16-23
915,RESET,200,3,24-31
916,RESET,202,0,0-7
917,RESET,202,1,8-15
918,RESET,202,2,16-23
919,RESET,202,3,24-31
920,RESET,204,0,0-7
921,RESET,204,1,8-15
922,RESET,204,2,16-23
923,RESET,204,3,24-31
924,RESET,206,0,0-7
925,RESET,206,1,8-15
926,RESET,206,2,16-23
927,RESET,206,3,24-31
928,RESET,208,0,0-7
929,RESET,208,1,8-15
930,RESET,208,2,16-23
931,RESET,208,3,24-31
932,RESET,210,0,0-7
933,RESET,210,1,8-15
934,RESET,210,2,16-23
935,RESET,210,3,24-31
936,RESET,212,0,0-7
937,RESET,212,1,8-15
938,RESET,212,2,16-23
939,RESET,212,3,24-31
940,RESET,214,0,0-7
941,RESET,214,1,8-15
942,RESET,214,2,16-23
943,RESET,214,3,24-31
944,RESET,216,0,0-7
945,RESET,216,1,8-15
946,RESET,216,2,16-23
947,RESET,216,3,24-31
948,RESET,218,0,0-7
949,RESET,218,1,8-15
950,RESET,218,2,16-23
951,RESET,218,3,24-31
952,RESET,220,0,0-7
953,RESET,220,1,8-15
954,RESET,220,2,16-23
955,RESET,220,3,24-31
956,RESET,222,0,0-7
957,RESET,222,1,8-15
958,RESET,222,2,16-23
959,RESET,222,3,24-31
960,RESET,224,0,0-7
961,RESET,224,1,8-15
962,RESET,224,2,16-23
963,RESET,224,3,24-31
964,RESET,226,0,0-7
965,RESET,226,1,8-15
966,RESET,226,2,16-23
967,RESET,226,3,24-31
968,RESET,228,0,0-7
969,RESET,228,1,8-15
970,RESET,228,2,16-23
971,RESET,228,3,24-31
972,RESET,230,0,0-7
973,RESET,230,1,8-15
974,RESET,230,2,16-23
975,RESET,230,3,24-31
976,RESET,232,0,0-7
977,RESET,232,1,8-15
978,RESET,232,2,16-23
979,RESET,232,3,24-31
980,RESET,234,0,0-7
981,RESET,234,1,8-15
982,RESET,234,2,16-23
983,RESET,234,3,24-31
984,RESET,236,0,0-7
985,RESET,236,1,8-15
986,RESET,236,2,16-23
987,RESET,236,3,24-31
988,RESET,238,0,0-7
989,RESET,238,1,8-15
990,RESET,238,2,16-23
991,RESET,238,3,24-31
992,RESET,240,0,0-7
993,RESET,240,1,8-15
994,RESET,240,2,16-23
995,RESET,240,3,24-31
996,RESET,242,0,0-7
997,RESET,242,1,8-15
998,RESET,242,2,16-23
999,RESET,242,3,24-31
1000,RESET,244,0,0-7
1001,RESET,244,1,8-15
1002,RESET,244,2,16-23
1003,RESET,244,3,24-31
1004,RESET,246,0,0-7
1005,RESET,246,1,8-15
1006,RESET,246,2,16-23
1007,RESET,246,3,24-31
1008,RESET,248,0,0-7
1009,RESET,248,1,8-15
1010,RESET,248,2,16-23
1011,RESET,248,3,24-31
1012,RESET,250,0,0-7
1013,RESET,250,1,8-15
1014,RESET,250,2,16-23
1015,RESET,250,3,24-31
1016,RESET,252,0,0-7
1017,RESET,252,1,8-15
1018,RESET,252,2,16-23
1019,RESET,252,3,24-31
1020,RESET,254,0,0-7
1021,RESET,254,1,8-15
1022,RESET,254,2,16-23
1023,RESET,254,3,24-31
